EC,RA,MA,MB,CP,K2,L2,MI
645745723177966.5,1150388.294249233,1.4126391996831633e+33,1.4932764477656705e+33,0.09119081923667346,0.10214496548404764,2.0556172469857478e+36,5.062434446202325e+44
656852311434277.0,1149256.0679024395,1.4592229639325727e+33,1.5455101485550968e+33,0.09429076688122001,0.10263173077891169,2.055269121316369e+36,5.297126878407829e+44
668149928911944.6,1148279.7534036094,1.507203006776996e+33,1.5995212258450332e+33,0.09747390436213133,0.10295697883852835,2.0530396848853505e+36,5.542512007465217e+44
679641861243121.5,1147453.1163518394,1.556243747918745e+33,1.654951925346784e+33,0.10071797553351933,0.10311861439979911,2.0488720359026455e+36,5.797109629583816e+44
691331450571612.4,1146761.833295708,1.6062527136292244e+33,1.711714255781388e+33,0.1040171528017842,0.10311904985927667,2.0427163797386367e+36,6.060614565926141e+44
703222096524865.8,1146190.0372577491,1.657269386604498e+33,1.7698695074681092e+33,0.1073744115196965,0.10296141875518557,2.03451399546056e+36,6.3333984716980355e+44
715317257202665.0,1145723.6095303083,1.709289853657177e+33,1.8294302351781693e+33,0.11078989988554301,0.10264900422126318,2.0242170132124148e+36,6.615607375950252e+44
727620450182843.2,1145348.8658471543,1.762242408110398e+33,1.890331225755159e+33,0.11425946229916503,0.10218627633547735,2.0117987854128423e+36,6.90700707126366e+44
740135253544266.2,1145053.3214547248,1.8159406817634677e+33,1.952373588638745e+33,0.11777151587015712,0.10157985493181887,1.9972809502029034e+36,7.20669299851754e+44
752865306907439.0,1144822.6533452263,1.8704738114453515e+33,2.0156756518157147e+33,0.12133266460437257,0.10083406131277667,1.9806208634247358e+36,7.515261121928657e+44
765814312492993.9,1144644.3008090067,1.925967411501715e+33,2.0804023945701407e+33,0.12495185325959046,0.09995207435152066,1.961767702444206e+36,7.83355363540829e+44
778986036198402.0,1144507.4006664336,1.982241121078993e+33,2.1463629589348988e+33,0.1286181308098009,0.09894176479930045,1.9407772654278582e+36,8.160659505119994e+44
792384308693172.4,1144400.914051101,2.039172407755077e+33,2.2134311333881135e+33,0.1323244409404378,0.09781137158177651,1.917711825342978e+36,8.495951437578317e+44
806013026532920.0,1144314.016541726,2.0965331107792103e+33,2.2813523479401844e+33,0.13605697968475963,0.0965720393224489,1.8926944461733847e+36,8.83811816928079e+44
819876153292575.5,1144235.423671622,2.154892737108374e+33,2.3508195382006558e+33,0.13985390154394547,0.0952171307163398,1.8654991306707883e+36,9.19062679318226e+44
833977720719106.9,1144157.1834433358,2.2135039567587818e+33,2.4209626432534402e+33,0.14366763043648806,0.09377015696697354,1.836521928501147e+36,9.549028863022633e+44
848321829904032.2,1144069.310173904,2.272161101882818e+33,2.491543430790041e+33,0.14748610376826052,0.09224355447755217,1.8059292225145837e+36,9.911985191753314e+44
862912652476135.0,1143961.6762789201,2.3314746660309892e+33,2.5633096365395268e+33,0.15135038954849192,0.09062767653950488,1.773459358872446e+36,1.02832381177506e+45
877754431814674.8,1143827.7541908366,2.3905897205304102e+33,2.635238893293822e+33,0.15520608183637868,0.08895219133067372,1.7396537581939185e+36,1.0657384727113199e+45
892851484283465.4,1143657.9451376665,2.4498748996445577e+33,2.707785751416137e+33,0.15907871511233637,0.08721303774482692,1.7043751291617474e+36,1.1036619694222904e+45
908208200486197.6,1143444.4624330166,2.509496978302453e+33,2.781167610204197e+33,0.16298060262664238,0.0854108034329333,1.6675973734325336e+36,1.1421947723293113e+45
923829046543314.8,1143181.856541767,2.5690266188301865e+33,2.854867935881455e+33,0.16688511366667197,0.08356389452156014,1.6296648754993304e+36,1.1810504531665605e+45
939718565390884.8,1142866.591339406,2.627954430874372e+33,2.9282577697767646e+33,0.170760182610132,0.08169411344743406,1.5910047223712456e+36,1.2198768165130064e+45
