CE,RE,RJ,MA,MB,PC,PS,AL,MI
1172946839279546.2,1148066.889911664,1140402.1605534365,3.338204031194801e+33,3.851134927245751e+33,0.10043163037840576,0.054563276463137536,-0.19314152014980276,1.7540853545881998e+45
1193121092275455.5,1148663.4309415107,1140327.7085757654,3.394230686009326e+33,3.9273788176197705e+33,0.10401002383722478,0.056895021199869576,-0.19707423301774715,1.800365124902167e+45
1213642334981651.0,1148809.262483366,1139985.43042185,3.449731170743033e+33,4.00336802154231e+33,0.1062938901054538,0.058539635321177834,-0.198396140497759,1.8456070437393206e+45
1234516535493163.5,1148434.4939271563,1139337.2200531433,3.504629016139485e+33,4.079010001903633e+33,0.10723099759626477,0.05945305488869047,-0.19710431319406582,1.8893514823989215e+45
1255749764554050.8,1147367.3638049257,1138250.789858995,3.5577115045900593e+33,4.1526459997244114e+33,0.1066882078514794,0.059544120027796583,-0.19311274517797558,1.9301833593578455e+45
1277348197322945.5,1145489.0642797428,1136647.93731145,3.608997072786886e+33,4.224341168015124e+33,0.10445766884045969,0.05868238855381902,-0.18614603587854472,1.9675900606627386e+45
1299318115168915.2,1142628.3545821423,1134399.8236238032,3.6572093788548846e+33,4.292217628721564e+33,0.10023730283032195,0.05667631889271456,-0.17585038077643902,1.9999104344921643e+45
1321665907498264.2,1138598.3392053116,1131366.2491344612,3.7015589575085464e+33,4.3549715341443436e+33,0.09351974354292174,0.05321656587038656,-0.16151239769271392,2.0257562188616014e+45
1344398073612722.8,1133350.7259481128,1127506.1499543076,3.740208197596005e+33,4.4100234145848443e+33,0.0837214345614709,0.04793626498362878,-0.14239883001140138,2.043346265033101e+45
1367521224599629.5,1126745.8671672712,1122721.6891731024,3.772943847629994e+33,4.4570209026833244e+33,0.06922859850184224,0.039877019844932034,-0.11599369538517962,2.0518586794011325e+45
1391042085254571.2,1118646.4285830865,1116880.786610669,3.7986071035855093e+33,4.494035322622262e+33,0.04572878143475824,0.026496293473199456,-0.07551433194091467,2.049990683359316e+45
1414967496037143.2,1111589.306722163,1111589.3047966417,3.823475391092913e+33,4.53007861194692e+33,4.746072861690048e-05,2.774666130834705e-05,-7.732017015015502e-05,2.0506254131598052e+45
1439304415060317.8,1109307.7248804634,1109307.7247706465,3.8588476589872546e+33,4.581621293835087e+33,1.1167583623519302e-05,6.63311238189049e-06,-1.797224086222923e-05,2.074501811108773e+45
1464059920114060.0,1106957.2687716645,1106957.2687384882,3.892965365690469e+33,4.631668999342003e+33,6.042611359879311e-06,3.649696925385619e-06,-9.60893582533771e-06,2.0972890135435212e+45
1489241210723695.5,1104548.1737881629,1104548.173772995,3.925698549991283e+33,4.6799472353408495e+33,4.018979255541739e-06,2.4704649725490128e-06,-6.31703120086879e-06,2.1188316940947038e+45
1514855610243735.2,1102076.5902848693,1102076.5902764525,3.9572030286110534e+33,4.72666843555995e+33,2.942458904867795e-06,1.8423787906978385e-06,-4.5727735792523545e-06,2.1392708753860212e+45
1540910567987680.0,1099560.8251672068,1099560.8251619674,3.98741975250597e+33,4.771780448535763e+33,2.2799479374478823e-06,1.4552748039217049e-06,-3.504304467745225e-06,2.158527008461493e+45
