CE,RE,RJ,MA,MB,PC,PS,AL,MI
360114168577926.06,1420439.836034461,1420439.836033915,4.628295592434185e+32,4.70087613447158e+32,5.228302309076073e-07,2.3433391003310557e-07,-5.4163110837432365e-06,1.1568647443912435e+44
362571598470382.3,1412290.7316058225,1412290.7316052455,4.685029578529656e+32,4.759758760008576e+32,5.426420244619252e-07,2.4156833674498296e-07,-5.603969296857802e-06,1.1740502679838181e+44
365045797938165.6,1404338.2187237258,1404338.218723114,4.742751902485337e+32,4.8196935497825924e+32,5.642265691753622e-07,2.4945015154167775e-07,-5.808363516657254e-06,1.1916422985933381e+44
367536881417359.9,1396581.0069799025,1396581.0069792515,4.801466181440694e+32,4.880683476395199e+32,5.878218945169892e-07,2.580661840438037e-07,-6.031739625630296e-06,1.209647864324349e+44
370044964124968.5,1389034.3519584683,1389034.3519577726,4.861022985665431e+32,4.9425766642868194e+32,6.136463116683966e-07,2.674960624974071e-07,-6.276156183113229e-06,1.2280236046347858e+44
372570162064234.8,1381689.8656090596,1381689.865608313,4.9214506538842435e+32,5.0054025969590274e+32,6.420369220561234e-07,2.778627516272236e-07,-6.544793365778505e-06,1.2467817212294154e+44
375112592030013.25,1374512.7452675516,1374512.745266746,4.983011406817638e+32,5.0694363949777124e+32,6.735278533155395e-07,2.893612190984988e-07,-6.842695640912341e-06,1.2660072878853997e+44
377672371614169.8,1367530.4353598433,1367530.4353589695,5.045451573916386e+32,5.1344143526985296e+32,7.084880644388644e-07,3.0212598183037006e-07,-7.173340784396753e-06,1.285625833017833e+44
380249619211020.9,1360737.6259270783,1360737.6259261249,5.1087781682835606e+32,5.200346631433657e+32,7.475180215705615e-07,3.1637608029791006e-07,-7.54239380873061e-06,1.3056430495772867e+44
382844454022809.3,1354128.4064113316,1354128.4064102843,5.173015748445121e+32,5.26725994261004e+32,7.913765608549765e-07,3.3238810609822256e-07,-7.957013140417655e-06,1.3260706257029854e+44
385456996065217.6,1347696.6672473112,1347696.6672461522,5.238159655437792e+32,5.335149488414783e+32,8.410043862540461e-07,3.5050561127439245e-07,-8.426076189902491e-06,1.3469093399763519e+44
388087366172917.2,1341439.900909649,1341439.9009083554,5.304211275450148e+32,5.4040195062091786e+32,8.97603802026333e-07,3.7116687550244687e-07,-8.960925499313995e-06,1.3681638713948288e+44
390735686005163.8,1335343.4160531026,1335343.4160516441,5.3712891867074105e+32,5.47399399030437e+32,9.628560788317248e-07,3.9498508797487683e-07,-9.577422624379494e-06,1.3898767584332717e+44
393402078051414.8,1329396.208620718,1329396.2086190546,5.4394930097271834e+32,5.545179913780113e+32,1.0390049170195837e-06,4.2277882225121234e-07,-1.0296741721940473e-05,1.412084811249507e+44
396086665637000.9,1323610.3226731867,1323610.3226712642,5.508639896057884e+32,5.617387133185579e+32,1.1287356485745556e-06,4.555278079639711e-07,-1.1144218236214514e-05,1.434731977788569e+44
398789572928828.4,1317981.215460145,1317981.2154578872,5.578756216592325e+32,5.690645265409477e+32,1.2360463442890871e-06,4.946901167515437e-07,-1.2157571366522582e-05,1.457831971057033e+44
401510924941122.44,1312495.5998277836,1312495.5998250805,5.64996059637541e+32,5.765079582657528e+32,1.3668703940977236e-06,5.424302659432749e-07,-1.3392786656993369e-05,1.4814271692894804e+44
404250847541209.06,1307159.9282762033,1307159.9282728897,5.722139597732695e+32,5.840573090162127e+32,1.5295391023684342e-06,6.01787279839697e-07,-1.492846950787976e-05,1.505485179296815e+44
407009467455334.9,1301970.1852619862,1301970.185257802,5.795299033534811e+32,5.917135289094811e+32,1.7372461989443614e-06,6.77573709012628e-07,-1.6889100858472084e-05,1.5300118660307147e+44
409786912274535.25,1296905.8033262554,1296905.8033207594,5.869697888605592e+32,5.995037218285795e+32,2.0127238849736403e-06,7.780816537835948e-07,-1.948916504050911e-05,1.5550988663020007e+44
412583310460525.75,1291979.1633951222,1291979.1633875133,5.945124419754856e+32,6.074060253608828e+32,2.394153362861817e-06,9.172385763806258e-07,-2.308890496216005e-05,1.5806799187592048e+44
415398791351649.94,1287188.0421382363,1287188.0421268824,6.0215672925088394e+32,6.1541939250297016e+32,2.95693166101165e-06,1.1225471290570322e-06,-2.839969700432432e-05,1.6067556782834091e+44
418233485168860.4,1282522.8640451424,1282522.864026101,6.0991285502751486e+32,6.235547502701901e+32,3.871979324761207e-06,1.4563543435990325e-06,-3.7034190879266364e-05,1.6333652032899947e+44
421087523021741.2,1277985.9025495853,1277985.9025103853,6.1777502223434615e+32,6.318062601810266e+32,5.618052859949023e-06,2.093295669857122e-06,-5.3509486462995766e-05,1.6604947397120505e+44
423961036914572.25,1273573.5109523574,1273573.5108244142,6.2574118269500594e+32,6.4017196430053916e+32,1.0264818474432791e-05,3.788326516706088e-06,-9.735306108645081e-05,1.6881392915311362e+44
426854159752432.8,1269308.4836718205,1269308.479574222,6.337643938517604e+32,6.486026311341357e+32,5.8751690886668304e-05,2.14749468512897e-05,-0.0005548313372703035,1.7161408858472719e+44
429767025347355.7,1263744.7073475502,1263653.0435855112,6.348847335413192e+32,6.497841864743607e+32,0.008803456320057561,0.003219052200517222,-0.08302048311750397,1.7145354383624238e+44
432699768424505.8,1257846.022870157,1257636.7337873634,6.341812885338043e+32,6.490492497120181e+32,0.013293092528217356,0.004875605893749915,-0.12527928451262224,1.7051552087805737e+44
435652524628418.3,1251980.9855965232,1251652.1050660287,6.334936986888791e+32,6.483306960711621e+32,0.01665180478632988,0.00612632059067912,-0.1568311013829955,1.6959121695799024e+44
438625430529270.75,1246151.411692737,1245700.954592473,6.328245651792327e+32,6.476312319077247e+32,0.019473804518168547,0.007186733564497663,-0.18328851308615818,1.6868178482174674e+44
441618623629199.7,1240357.1678514385,1239783.11378,6.321738089483204e+32,6.469507737498723e+32,0.021967211126211545,0.00813212900330848,-0.20661834797265524,1.6778688675881841e+44
444632242368660.44,1234482.6734963318,1233780.3876426222,6.315296161731226e+32,6.462770547651558e+32,0.024278134936546247,0.009016276507013024,-0.22819651624012885,1.6688914843004014e+44
447666426132828.25,1228613.7442816566,1227780.3065495545,6.309023257892955e+32,6.456209072162288e+32,0.02642674687453497,0.009845857522052708,-0.24821745141476884,1.6600206181482947e+44
450721315258052.44,1222781.1952178571,1221814.2656340376,6.302958589343829e+32,6.449865181739662e+32,0.028440944435813097,0.010630652271396061,-0.26694633714005267,1.651304288466862e+44
453797051038336.3,1216986.0055539864,1215883.1979121354,6.2971047710925085e+32,6.44374292577468e+32,0.03034777440322289,0.011380372975556842,-0.2846389948587783,1.6427422539397638e+44
456893775731879.6,1211228.4192014595,1209987.2952717964,6.291466177479529e+32,6.437846153758382e+32,0.03216664775875093,0.012101991106683519,-0.3014789681282494,1.6343356587298059e+44
460011632567656.25,1205505.3650498104,1204123.3326853914,6.286041417730278e+32,6.432174409632363e+32,0.03391324229644808,0.012801181197492484,-0.31761419460044227,1.6260786727231741e+44
463150765752038.94,1199794.8419424598,1198268.6622582383,6.280816203649578e+32,6.426713292585268e+32,0.03560524772859704,0.013484613446855784,-0.3332102325795396,1.617940945795829e+44
466311320475469.0,1194124.0717950698,1192451.0962595025,6.275818230512781e+32,6.4214911546843846e+32,0.0372432535752651,0.01415217693799448,-0.3482743312830378,1.609960889087559e+44
469493442919171.6,1188493.8318838906,1186671.3551102062,6.271051388673138e+32,6.416511416485018e+32,0.0388343692468215,0.014806421620357935,-0.362873540831783,1.6021389346361156e+44
472697280261915.4,1182905.1035508728,1180930.3593655657,6.266520111195792e+32,6.411780925806019e+32,0.04038443225727907,0.015449443068284423,-0.3770627928655963,1.594476536729055e+44
475922980686826.6,1177357.8326784382,1175227.9961215928,6.26222496054888e+32,6.407297550500503e+32,0.04189825092892437,0.016082976869998915,-0.39088737443603105,1.5869717848854223e+44
479170693388232.25,1171846.3878476575,1169558.3603944334,6.25816690203091e+32,6.4030653341852174e+32,0.043381845633244036,0.01670930610493629,-0.40440318131213243,1.5796175707887396e+44
482440568578567.6,1166373.7708703848,1163924.4597646599,6.25435081308733e+32,6.399088620154973e+32,0.04483782869964037,0.017329350306978537,-0.41763491855513446,1.5724173622294599e+44
485732757495322.25,1160945.430095794,1158331.7978905593,6.250784661482494e+32,6.395373332467501e+32,0.04626803535637479,0.017943698949662006,-0.43059993169187255,1.565378260928428e+44
