EC,PC,PS,SS,AS,RS,RJ,MS,MB,NS,OS,VS,RI,MA,NI,PI,SI,OI,VI,H1,J1,H1p,J1p,H2,J2,H2p,J2p,CP,MI,HI,HpI,JpI,YI,CI,K2,L2
989045768176094.4,0.12829640072882176,0.043202094707789844,-9.436177333136e-08,0.9870200290375872,1087275.1709551828,1073162.370808032,1.848862932403626e+33,2.0276737311001858e+33,0.2861775132321913,1.3243416555291596,3.4162471069793556e-07,9268083.010180801,1.873081678125863e+33,0.5516517949044941,-5.912702121641163e-07,-2.451429836494672e-12,1.4481362164417078,6.486364769770087e-11,62187334146249.984,1003172202386586.5,13619620.240016181,948742079.375164,64864776249406.805,7288997116778188.0,14159050.940187916,6893511397.820448,0.12961509942283087,7.417132626339305e+44,3.8821275884470736e+29,8.506940634571962e+22,-7.299968609487421e+17,2.0309232545196134,0.015008286744554141,2.0256137145174818e-06,1.383595754255221e+36
1006056990580661.0,0.13139874182999134,0.044956751527485794,-9.839351483490547e-08,0.9859518427906956,1090511.9046509718,1075192.2219758169,1.895525681950699e+33,2.085786572245489e+33,0.2915824556683428,1.3305557731982853,3.5522228871832085e-07,8706995.283928825,1.9217600845333217e+33,0.5621538198306542,6.196612077604227e-07,-3.183956660868503e-12,1.4596324774664753,8.76383925383022e-11,55312110500808.234,590495560737844.2,12910565.8204661,558367868.465642,58741362401950.13,4390065457819578.0,13648838.341672262,4151212159.1349335,0.1327325300057878,7.744770516766494e+44,2.0813727197865333e+29,4.861865059934835e+22,-8.595427790747075e+17,2.0338613908753715,0.016390612284907423,2.792666032812038e-06,1.3959297600904467e+36
1023360799736018.0,0.1343935701969266,0.046715705598645206,-1.0244538805486707e-07,0.9848395937589625,1094372.5962123952,1077781.4630747563,1.9457090392597265e+33,2.1485511726815572e+33,0.29743490470150397,1.3373094725845835,3.696338174105283e-07,8672347.834260164,1.974062793499407e+33,0.575375491026204,7.714722267714602e-07,-3.3356235139425617e-12,1.4721110445316345,9.40001399703933e-11,55359472600622.055,570757467595347.8,12979837.858772624,539955757.4597136,59870972839025.69,4357269693522393.5,13970690.674742294,4122125276.954296,0.13601743199413222,8.106233599021882e+44,2.0704434737200163e+29,4.85827780987907e+22,-9.263630674433147e+17,2.0349589630205243,0.016903965299820467,2.8806750281893176e-06,1.4114994953374018e+36
1040962228026366.9,0.1373030211782456,0.04849259995352489,-1.0655085656315358e-07,0.9836740116893544,1098902.7068292194,1080962.0340829887,2.000148596792726e+33,2.2169490960253714e+33,0.3038382694128317,1.3447273794858126,3.8508154860866476e-07,8637292.625309134,2.0307471180728498e+33,0.5896568666943631,-4.858924444060007e-07,-4.7791457245485095e-12,1.4857577748387254,1.012103335059321e-10,55367002301260.37,550419327764018.75,13042903.086732984,520983158.878814,61041864401371.92,4332377183189221.5,14316920.209021151,4100685252.211872,0.1395114082582297,8.508868460956171e+44,2.062721155023e+29,4.862646613840973e+22,-8.695418655929795e+17,2.036150239451282,0.0174599312759999,2.978990108873992e-06,1.4304090384949256e+36
1058866394391049.2,0.14012014382600788,0.050286951450424715,-1.1071182154144312e-07,0.9824543077733744,1104126.4487325586,1084753.7858838202,2.0592832281824612e+33,2.291608891020673e+33,0.31086372182883976,1.3528995547977039,4.0170774607403327e-07,8601614.804512257,2.0922579636165012e+33,0.6051257020909613,3.0074941213008523e-07,-4.405224039064729e-12,1.500733607232225,1.0942602230475375e-10,55329576617970.69,529358100957365.9,13095463.375924274,501332407.14206135,62243285482472.555,4315240950322625.0,14659171.375161082,4086781960.719243,0.1432347428914167,8.958213258756318e+44,2.0581146738553145e+29,4.875012870247475e+22,-1.0047299206575555e+18,2.0374463779687506,0.0180634024137018,3.0886385353858617e-06,1.452680322621876e+36
1077078505813278.9,0.14282771912515163,0.05209173903954053,-1.1491611567929476e-07,0.9811844203010522,1110046.8508713369,1089160.6758792012,2.1233871786556888e+33,2.3729658869793882e+33,0.31856980897593024,1.3619028281162426,4.196225126745129e-07,8565135.944885854,2.1588663784074364e+33,0.621874498007576,5.861898066057695e-06,2.462034365932714e-13,1.517174442545845,1.1881133668189427e-10,55241704685340.59,507478978817834.25,13134213.360347206,480911073.55078614,63462655735278.39,4305527919952098.5,14974454.846246585,4080124931.3272657,0.14719671836043705,9.458969764222287e+44,2.056387381428757e+29,4.895050127585578e+22,-1.5794121001601597e+18,2.0388556250851444,0.018717843860070874,3.21041983805142e-06,1.4782100471940234e+36
1095603858834456.2,0.14542199058175093,0.05391034347801352,-1.1917728873148924e-07,0.9798612725724527,1116701.7955471242,1094212.842468748,2.1931805041087538e+33,2.4620393971171532e+33,0.3270760794928359,1.3718878817759532,4.3907654681169336e-07,8001323.788712467,2.2313029984301333e+33,0.6374585652600199,1.6676776370295608e-06,-8.433869335957895e-12,1.535272716251717,1.6723819299087748e-10,48394647967213.516,294199653023227.75,12346051.579756014,279041452.069787,56940572879612.23,2612631312794961.0,14436640.586290523,2478023041.602391,0.1514331858683194,1.0020323608588903e+45,1.0968547586670531e+29,2.800842629534454e+22,-1.0837776869810504e+18,2.043155539332134,0.020709090286638136,4.600430158553101e-06,1.5069910938795943e+36
1114447841094553.2,0.14783529744029045,0.055698520505464276,-1.233978423670886e-07,0.978517824362294,1123934.1525271963,1099789.6016573908,2.2674755258812338e+33,2.5574210349308068e+33,0.3362784383841269,1.3827436129647004,4.5981383267948106e-07,8488269.009090515,2.3083172619180725e+33,0.6595931446394435,-1.4511564118429402e-06,-7.1686280662466e-12,1.5550542865335641,1.4193512390941838e-10,54906372855001.33,460541223880026.6,13199388.348468464,437055064.78719985,66091230785690.945,4303764479271115.0,15809935.130117122,4084288311.644861,0.15586557568050974,1.0634211587843233e+45,2.058663608651911e+29,4.9525931847955635e+22,-1.0744071254400041e+18,2.0420501469233105,0.020194852355195872,3.494734173905285e-06,1.5382001086422096e+36
1133615932898949.2,0.15010208148002627,0.057486860295920136,-1.2765807523904622e-07,0.977132346732338,1131867.479949066,1105984.3268726482,2.3481034831009423e+33,2.661581837048351e+33,0.34645457314767586,1.3948112242871993,4.824493318387464e-07,8446976.619106721,2.3917863459350114e+33,0.6808309441713929,1.1596800069143574e-07,-6.225112257170415e-12,1.5769014769505292,1.5623693281507214e-10,54637280339183.086,435084374219377.9,13209180.305080477,413233465.7180005,67420796014783.81,4309263124514728.0,16203989.83246322,4092845316.97538,0.16059711067178914,1.1320581733674286e+45,2.061126825459507e+29,4.987173081763508e+22,-1.307878943826641e+18,2.043859402378264,0.021027391853111844,3.65956306972435e-06,1.5719499489637386e+36
1153113708812258.5,0.1521873779904097,0.05925914136098494,-1.3193025841895597e-07,0.9757181443096583,1140442.6854647822,1112750.6207532205,2.4351092918769563e+33,2.774732682984778e+33,0.3576761694132395,1.4081944557308055,5.071384450622035e-07,9974530.357459607,2.481729389219032e+33,0.7111217732530045,4.761159840739883e-10,-1.153337664378416e-12,1.6012704504696884,8.708537916306053e-11,77026434793391.94,1818066996667291.5,15730397.87739294,1729881487.5310702,97340000454984.22,1.9238133158210336e+16,19781925.591077935,18304986742.77935,0.16562309510505988,1.2081888273784512e+45,1.3048741669746937e+30,2.666586229492477e+23,-1.8664337399076618e+18,2.0383532734442045,0.018476779886824,1.630135755784752e-06,1.6076409976995896e+36
1172946839279546.2,0.15406969627678396,0.061010560212825055,-1.3621627627726192e-07,0.9742805096629561,1149642.2402935296,1120074.0278032427,2.52910505697266e+33,2.897841593458312e+33,0.3701079951665124,1.4231123931246925,5.342489849598744e-07,10447601.393335475,2.5787470144263728e+33,0.7386965890016243,7.21287109914951e-07,-3.146979769602906e-14,1.6282294839546467,7.873513930363865e-11,84980201525713.84,2776111053603354.0,16563472.547376707,2645175684.997192,110282976560758.67,3.1685884581937452e+16,21355345.515385993,30191419870.19946,0.17097252634453117,1.2930156931913781e+45,2.3865150670389522e+30,4.65543468673486e+23,-2.97187229799809e+18,2.0380397589553354,0.018329746610410893,1.3226761110925643e-06,1.6445212901605508e+36
1193121092275455.5,0.15570528090715408,0.06271794067826102,-1.4047520118229404e-07,0.9728408459957176,1159336.4401022408,1127849.8431827275,2.629716232005537e+33,3.030606184210806e+33,0.3838066244856292,1.439660310744026,5.639303432124178e-07,7775487.381053968,2.682416257107685e+33,0.7530381959869804,1.4569117716359806e-05,-1.8283074938676776e-12,1.6576148691984947,2.8024849629646686e-10,46602014470849.4,210305165178183.28,12293647.260244612,200484375.38219398,62485531179182.086,2617188721632305.5,16300296.869307602,2494981912.4573627,0.17661972605819443,1.3869300967488412e+45,1.0882523672256813e+29,2.8746758331684933e+22,-2.1371021497403965e+18,2.053935864380902,0.0256190410421204,5.921976859161125e-06,1.681155275284334e+36
1213642334981651.0,0.1570597909224033,0.064361197579079,-1.4467483005079176e-07,0.9714198194760829,1169382.4927684597,1135961.330023629,2.7365539756257975e+33,3.172698422025739e+33,0.3988519148787634,1.4579653175070058,5.963935569572929e-07,9806851.487986589,2.792297409209926e+33,0.7944035834846159,-4.25971300357959e-07,-1.8856618714067247e-12,1.6908977908263287,1.2127846703905807e-10,75105391456082.16,1393432274237739.5,15645871.18689629,1328999544.7100708,103342239009885.0,1.914455086757707e+16,21416195.066733543,18259302557.43394,0.18254184831631906,1.4889124726365037e+45,1.2938585760318893e+30,2.696911594077369e+23,-2.1019114293543567e+18,2.0441346503618236,0.021144449985032843,1.8945451514680107e-06,1.7165480701669943e+36
