,ec_st,R_st,M_st,Mb_st,rT_st
105,745100206369091.5,1369305.2559850079,3.175123227079942e+33,3.526111328822608e+33,0.0
106,752077926435307.8,1368356.4054308194,3.192625328751159e+33,3.54798289381952e+33,0.0
107,759120991507345.1,1367381.1623455787,3.2099909681231206e+33,3.5697247905592714e+33,0.0
108,766230013528606.8,1366379.6321776044,3.2272317380698005e+33,3.591343882307419e+33,0.0
109,773405610173237.5,1365413.0255055013,3.2433137540367753e+33,3.611533266558668e+33,0.0
110,780648404899772.2,1364439.5424628935,3.2589996536308405e+33,3.631260197001908e+33,0.0
111,787959027005318.4,1363443.6993397735,3.274541821323722e+33,3.6508352689566216e+33,0.0
112,795338111680226.2,1362423.026163017,3.2899231075170057e+33,3.6702325874747396e+33,0.0
113,802786300063291.2,1361381.3154858507,3.305160773950603e+33,3.689477674738731e+33,0.0
114,810304239297440.9,1360314.6794100045,3.320228854194594e+33,3.708535860865764e+33,0.0
115,817892582585974.4,1359221.4831466337,3.3351392138430267e+33,3.7274239963955176e+33,0.0
116,825551989249314.6,1358113.731102505,3.349912925867819e+33,3.746162216684453e+33,0.0
117,833283124782289.8,1356983.9569690498,3.364460630100901e+33,3.7646380144955114e+33,0.0
118,841086660911969.1,1355846.7009171017,3.3786261126235875e+33,3.7826562203133214e+33,0.0
119,848963275656006.8,1354690.583548036,3.3926449295768067e+33,3.800517940070367e+33,0.0
120,856913653381565.0,1353482.5402148066,3.4064894788584555e+33,3.8181680334937696e+33,0.0
121,864938484864769.1,1352308.8962378176,3.4201960545468696e+33,3.8356834637871314e+33,0.0
122,873038467350740.9,1351085.255336647,3.433728725338695e+33,3.85299181718954e+33,0.0
123,881214304614157.6,1349838.694616674,3.447104065800084e+33,3.8701204245928977e+33,0.0
124,889466707020414.9,1348572.057036319,3.460324790466193e+33,3.887075123834885e+33,0.0
125,897796391587339.4,1347282.3040502274,3.473393654558645e+33,3.90385907943592e+33,0.0
126,906204082047503.2,1345967.9522664763,3.4863368955725427e+33,3.920505625364384e+33,0.0
127,914690508911083.6,1344632.9787168615,3.4991245071565774e+33,3.936969156209262e+33,0.0
128,923256409529348.8,1343274.9929023487,3.511750543684894e+33,3.9532505912468267e+33,0.0
129,931902528158715.6,1341894.9345458336,3.524222868375454e+33,3.969355254580502e+33,0.0
130,940629616025430.9,1340467.8166374739,3.536542890313733e+33,3.985283859973856e+33,0.0
131,949438431390819.0,1339080.9967836235,3.548704008475433e+33,4.0010257144747215e+33,0.0
132,958329739617179.8,1337634.0731177605,3.5607137790549664e+33,4.0165949423149736e+33,0.0
133,967304313234279.6,1336175.9431362993,3.572541548642881e+33,4.031949422236899e+33,0.0
134,976362932006489.2,1334700.2509622066,3.584189555416397e+33,4.047087770236083e+33,0.0
135,985506383000511.2,1333206.354001015,3.595688126558732e+33,4.0620541026342955e+33,0.0
136,994735460653780.0,1331690.3262451673,3.607017995340661e+33,4.07681726593632e+33,0.0
137,1004050966843483.6,1330155.5022075004,3.618205773717697e+33,4.091415821869712e+33,0.0
138,1013453710956232.0,1328602.4399774668,3.6292352339193976e+33,4.1058252033244594e+33,0.0
139,1022944509958396.9,1327029.20947582,3.640114917560583e+33,4.1200584365368115e+33,0.0
140,1032524188467070.8,1325440.3505869927,3.650864542365812e+33,4.1341570027755404e+33,0.0
141,1042193578821730.6,1323809.2129278223,3.661476029113448e+33,4.148052785818587e+33,0.0
142,1051953521156548.0,1322164.2663065414,3.671935769062997e+33,4.1617800813218145e+33,0.0
143,1061804863473402.6,1320529.274478303,3.6822574812276203e+33,4.175354767784049e+33,0.0
144,1071748461715535.2,1318856.7953339813,3.6924233824022636e+33,4.188736493151864e+33,0.0
145,1081785179841935.1,1317164.9772572403,3.702441824512794e+33,4.2019418959274874e+33,0.0
146,1091915889902396.4,1315457.7278603571,3.7123092386316943e+33,4.2149625940929505e+33,0.0
147,1102141472113305.2,1313728.315999451,3.722060029447418e+33,4.227850960549003e+33,0.0
148,1112462814934091.8,1311963.3979579185,3.7317258623810436e+33,4.240633952534105e+33,0.0
149,1122880815144441.8,1310185.0211642578,3.7412582253989406e+33,4.2532614462053625e+33,0.0
150,1133396377922206.0,1308378.9028579574,3.750636916735794e+33,4.2656954207035703e+33,0.0
151,1144010416922065.0,1306572.6337303033,3.7598789222282454e+33,4.277973662334165e+33,0.0
152,1154723854354886.5,1304739.848710634,3.7689718529608874e+33,4.290063497523617e+33,0.0
153,1165537621067869.2,1302892.3535791528,3.777921844986326e+33,4.301982656919513e+33,0.0
154,1176452656625417.5,1301043.54271246,3.786653695597174e+33,4.313619215063899e+33,0.0
155,1187469909390770.5,1299189.688718476,3.7951941476956755e+33,4.3250166541793937e+33,0.0
156,1198590336608421.2,1297322.0152062736,3.803586205334581e+33,4.336233636102912e+33,0.0
157,1209814904487258.5,1295439.0452227206,3.8118375377268536e+33,4.347272491888602e+33,0.0
