,ec_st,R_st,M_st,Mb_st,rT_st
21,352427136450257.1,1395296.579978674,5.42214346484611e+32,5.468963719378478e+32,0.0
22,356309188911368.5,1384578.424278731,5.54221011285308e+32,5.592763335021473e+32,0.0
23,360234002924448.06,1374388.3114679775,5.665020102115547e+32,5.7195057373963356e+32,0.0
24,364202049516190.1,1364685.5051764376,5.790517764692251e+32,5.849147349085519e+32,0.0
25,368213804901732.5,1355473.0040612598,5.9188305088577205e+32,5.981821763831478e+32,0.0
26,372269750541818.5,1346681.746867708,6.049962765424422e+32,6.1175439148294894e+32,0.0
27,376370373200573.9,1338327.2284601294,6.183929696616054e+32,6.256339217522014e+32,0.0
28,380516165003919.8,1330389.000152747,6.320818967921207e+32,6.398306296223758e+32,0.0
29,384707623498645.06,1322833.888293602,6.4606297408754455e+32,6.543453681568237e+32,0.0
30,388945251712105.44,1315650.5085717589,6.603395648669935e+32,6.691827805733598e+32,0.0
31,393229558212604.2,1308816.2285114594,6.749169356376561e+32,6.843491998280626e+32,0.0
32,397561057170421.94,1302308.8462084406,6.897936183142068e+32,6.998448084365675e+32,0.0
33,401940268419518.6,1296128.6004114626,7.049854465660574e+32,7.156855918146443e+32,0.0
34,406367717519931.5,1290273.0675061247,7.204791056850304e+32,7.31861078300639e+32,0.0
35,410843935820835.6,1284666.0911361717,7.362957888458982e+32,7.483922550089506e+32,0.0
36,415369460524324.1,1279354.8475041154,7.52423994361658e+32,7.652702328382615e+32,0.0
37,419944834749874.3,1274313.044741178,7.688737268471649e+32,7.82506161474474e+32,0.0
38,424570607599523.3,1269519.9545540696,7.856463863894159e+32,8.001029086801797e+32,0.0
39,429247334223779.5,1264970.7120020094,8.027467862183937e+32,8.18066703263278e+32,0.0
40,433975575888233.44,1260683.4841645402,8.200125854244174e+32,8.362285338902848e+32,0.0
41,438755900040929.06,1256625.893637156,8.375612046725686e+32,8.547117291359617e+32,0.0
42,443588880380459.3,1252783.3976270708,8.554298026186488e+32,8.735574518279567e+32,0.0
43,448475096924811.6,1249126.9886278338,8.7362259115905e+32,8.927714090616042e+32,0.0
44,453415136080990.1,1245657.4568559655,8.92132777453028e+32,9.12345444318361e+32,0.0
45,458409590715377.06,1242366.5861893506,9.109768541269392e+32,9.323015851548103e+32,0.0
46,463459060224897.06,1239245.6909166344,9.301494958757544e+32,9.52634641106655e+32,0.0
47,468564150608946.9,1236290.667796963,9.496551338812087e+32,9.733503022566604e+32,0.0
48,473725474542117.06,1233489.4195341272,9.694959537140748e+32,9.944532356322794e+32,0.0
49,478943651447733.9,1230836.2110176745,9.896741831814934e+32,1.0159474452658163e+33,0.0
50,484219307572182.4,1228327.0326869483,1.0101873956154322e+33,1.0378311126985244e+33,0.0
51,489553076060077.6,1225945.494237491,1.0310491343463787e+33,1.0601238503339258e+33,0.0
52,494945597030243.9,1223697.8381366238,1.052231830350573e+33,1.0827954547133607e+33,0.0
53,500397517652531.1,1221566.5892887493,1.0737794155150709e+33,1.1058892420073764e+33,0.0
54,505909492225497.1,1219557.4193846476,1.095672773362706e+33,1.1294000910222221e+33,0.0
55,511482182254915.6,1217654.3379413616,1.1178927602966932e+33,1.1532949523255361e+33,0.0
56,517116256533179.44,1215857.2463292184,1.1404653983883355e+33,1.1776141594151046e+33,0.0
57,522812391219557.9,1214176.2311235636,1.1631723253191754e+33,1.2021212519592782e+33,0.0
58,528571269921337.75,1212612.500501758,1.1859426962689804e+33,1.2267390592971435e+33,0.0
59,534393583775879.75,1211132.116738337,1.2090302686319194e+33,1.2517446500339287e+33,0.0
60,540280031533546.44,1209735.139642468,1.2324419511496439e+33,1.277147313385828e+33,0.0
61,546231319641576.06,1208414.9581055327,1.2561461305252193e+33,1.3029111685982246e+33,0.0
62,552248162328858.75,1207162.605324797,1.2801757627194622e+33,1.3290751944041092e+33,0.0
63,558331281691645.9,1205987.8141902913,1.304519341451803e+33,1.3556314338290782e+33,0.0
64,564481407780226.6,1204875.4379031456,1.329178424449514e+33,1.3825831902273885e+33,0.0
65,570699278686524.8,1203821.2145499494,1.354147471037435e+33,1.4099242009535053e+33,0.0
66,576985640632695.1,1202829.8126454065,1.379429580927356e+33,1.4376624227201965e+33,0.0
67,583341248060672.6,1201888.814594123,1.405016299977578e+33,1.465789766455856e+33,0.0
68,589766863722707.4,1200999.5683283997,1.430914131683927e+33,1.4943174678135872e+33,0.0
69,596263258772921.8,1200159.5948536915,1.457120464183614e+33,1.5232420085477144e+33,0.0
70,602831212859838.6,1199369.7161656383,1.4836515439197934e+33,1.5525940077169888e+33,0.0
