,ec_st,R_st,M_st,Mb_st,rT_st
65,679037019745997.6,1147492.396072505,1.5536672314614307e+33,1.6520351335100762e+33,0.0
66,688354979269414.9,1146924.2298901405,1.5934955705042158e+33,1.6972121309408294e+33,0.0
67,697800802763654.5,1146436.116030821,1.6339987160158488e+33,1.7433107968738062e+33,0.0
68,707376244818333.8,1146017.0331250436,1.6751266744651045e+33,1.7902856706063747e+33,0.0
69,717083084100103.2,1145666.07721826,1.7168857674242613e+33,1.838150125907932e+33,0.0
70,726923123683028.2,1145366.681120373,1.7592353605747267e+33,1.8868653053301726e+33,0.0
71,736898191383531.9,1145122.2741861483,1.8020760564769957e+33,1.9363284865292436e+33,0.0
72,747010140099906.2,1144920.275580197,1.845383503837155e+33,1.9865142957038918e+33,0.0
73,757260848156496.2,1144755.6431610277,1.889312527144822e+33,2.037612525820976e+33,0.0
74,767652219652604.6,1144622.9658510692,1.9338425470802987e+33,2.0896178647291445e+33,0.0
75,778186184816183.0,1144512.4451764764,1.978826968935474e+33,2.142352443807199e+33,0.0
76,788864700362381.5,1144425.2008927034,2.024308464463979e+33,2.1958825037387532e+33,0.0
77,799689749857001.1,1144355.0436368873,2.06997067783846e+33,2.2498705202807632e+33,0.0
78,810663344084966.2,1144286.132493866,2.11611044831096e+33,2.304616101535684e+33,0.0
79,821787521423820.9,1144224.3614602066,2.1629283138720252e+33,2.360416149655135e+33,0.0
80,833064348222367.1,1144165.5809159707,2.209771561684046e+33,2.4164985319362578e+33,0.0
81,844495919184494.8,1144093.1028741754,2.2565489432081407e+33,2.472721352495434e+33,0.0
82,856084357758282.9,1144019.6194771933,2.3038201152754993e+33,2.5298256846147654e+33,0.0
83,867831816530422.1,1143921.9464891318,2.351296196410843e+33,2.5873992172339445e+33,0.0
84,879740477626085.2,1143807.194444171,2.3984175625606192e+33,2.6447946847475785e+33,0.0
85,891812553114249.4,1143658.4406608485,2.445816324402389e+33,2.702813748325501e+33,0.0
86,904050285418597.8,1143506.67676357,2.49345020176139e+33,2.7613753331128853e+33,0.0
87,916455947734056.6,1143313.0551953055,2.5410393676350908e+33,2.820180347718663e+33,0.0
88,929031844449047.6,1143084.0671324227,2.5885482011663745e+33,2.879134657325813e+33,0.0
89,941780311573539.2,1142821.930314186,2.635512240782952e+33,2.937704480410686e+33,0.0
90,954703717172951.4,1142518.4845994427,2.6825879595445505e+33,2.9966938088363214e+33,0.0
91,967804461808054.2,1142170.402344312,2.729736335282461e+33,3.0560590987562106e+33,0.0
92,981084978980863.9,1141782.540939962,2.7762472951741614e+33,3.1149107160256975e+33,0.0
93,994547735586676.0,1141346.769405331,2.8226706180991286e+33,3.173939143475323e+33,0.0
94,1008195232372299.8,1140862.6728961281,2.869001318219135e+33,3.233150557613309e+33,0.0
95,1022030004400582.2,1140329.8372033583,2.914418603609907e+33,3.2914704536832237e+33,0.0
96,1036054621521287.9,1139747.4714812604,2.959577591937041e+33,3.349754910179399e+33,0.0
97,1050271688848480.1,1139107.8703674611,3.0045035817378586e+33,3.408028842533372e+33,0.0
98,1064683847244412.8,1138415.814991075,3.048894628966999e+33,3.4658958948653124e+33,0.0
99,1079293773810081.6,1137669.0251988233,3.092957644088728e+33,3.5236394897177275e+33,0.0
100,1094104182382504.6,1136862.2987774247,3.1367120138809694e+33,3.581266850967114e+33,0.0
101,1109117824038824.5,1136008.170468484,3.179244221419528e+33,3.637563976774083e+33,0.0
102,1124337487607334.2,1135100.043541276,3.221319359163378e+33,3.693544004677228e+33,0.0
103,1139766000185492.0,1134132.5219439706,3.2630100077945464e+33,3.7493045593389394e+33,0.0
